Âπ¥Ê????ãÁõ§????,?ÄÈ´òÂÉπ(??,?Ä‰ΩéÂÉπ(??,?∂Áõ§????,?ê‰∫§???ÉËÇ°),
43843,342,342,339,341.5,30663
43840,340.5,341,336,339.5,27880
43839,335,337.5,333.5,337.5,32397
43838,325,333,325,329.5,37913
43837,332.5,333,326.5,329.5,51746
43836,333,334.5,332,332,45677
43833,344,345,335.5,339.5,42023
43832,332.5,339,332.5,339,33282
43830,331,333.5,331,331,22950
43829,338,339,334,334.5,21591
43826,335,338,335,338,16677
43825,333,334,331.5,333,11427
43824,332,334.5,331,333,12262
43823,334,334.5,332,332,13783
43822,329.5,334,329.5,334,26911
43819,332,333,328.5,329,86280
43818,340,342,335,335,55667
43817,341.5,345,341.5,344.5,42486
43816,335,345,335,345,41428
43815,336.5,338.5,336,336,48340
43812,340,343,338,339,60843
43811,325,334.5,324,331.5,52801
43810,314,319,313,319,34329
43809,315,315.5,312.5,313.5,20847
43808,314,316.5,314,316,23556
43805,315,316,311,313,18402
43804,309,312,309,312,39349
43803,305,306,304,306,34911
43802,305,307,305,307,27686
43801,307,308,306.5,307.5,25516
43798,309,309.5,305,305,32423
43797,310,312,308.5,309.5,19718
43796,307.5,311.5,307.5,311,18527
43795,310,310.5,307,307,101916
43794,310.5,310.5,307,307,19855
43791,310,310.5,308,309,26492
43790,309.5,311,307,311,30163
43789,314,314,312,313.5,24538
43788,312.5,315,311,315,33096
43787,308.5,311,307,311,18741
43784,305.5,307.5,304.5,307,29038
43783,304.5,305,302,303.5,15734
43782,303,304,301.5,304,18422
43781,302.5,305,302,305,19016
43780,305,305,300,301,35285
43777,308.5,309,305.5,305.5,26230
43776,310,310,306.5,309,28453
43775,309,311.5,308,311,22149
43774,307.5,310.5,307,310.5,32253
43773,302.5,308,301,307,45155
43770,299.5,299.5,296.5,299,30216
43769,300,301.5,298.5,298.5,43123
43768,298.5,299.5,296.5,299.5,32370
43767,297,298.5,296.5,298.5,37130
43766,295,295.5,294,294.5,20216
43763,294.5,294.5,292.5,293.5,25082
43762,294.5,294.5,291,293,29040
43761,293.5,293.5,290.5,293,30382
43760,292.5,294,291.5,294,26525
43759,291,291,288.5,290,35860
43756,293,295.5,291,293,45460
43755,295,295.5,292,293.5,41920
43754,298,298,293.5,296.5,42917
43753,293.5,296,292,293.5,54754
43752,291.5,291.5,288.5,290,53403
43747,283.5,286,282,282,34895
43746,283.5,286.5,282.5,286.5,39868
43745,279,279.5,277.5,278,17750
43742,279.5,280,275,276.5,35814
43741,274,277.5,274,276.5,35874
43740,280,281,279,279.5,30572
43739,273,280.5,273,280,75248
43735,271.5,272.5,271,272,44242
43734,269,269.5,266.5,268,34128
43733,262.5,266,262,266,23244
43732,263.5,265.5,262,265,24304
43731,264,264,263,264,14220
43728,266,266.5,264,264,44555
43727,268,268,264,265,27165
43726,267,269.5,266.5,267,51360
43725,266.5,266.5,264.5,265,30069
43724,262,265.5,261.5,265.5,38913
43720,265,265,261.5,262.5,38792
43719,264,264.5,260.5,263,36266
43718,263.5,264,260.5,261.5,30019
43717,265.5,266,263.5,265,17317
43714,265,265,263,263.5,26609
43713,263,263,260.5,263,49041
43712,254,258,254,257.5,23697
43711,256.5,258,253,254,26086
43710,258,258,256,257.5,14776
43707,256.5,259,256,259,35299
43706,253,254,251,254,20085
43705,250.5,253,250.5,252,15280
43704,250.5,251,248.5,250,53664
43703,249,250.5,248.5,248.5,31740
43700,253.5,254.5,253,254,14772
43699,257,257.5,254,254,22136
43698,254.5,255,253,254.5,20269
43697,254,254.5,252.5,254.5,20620
43696,251.5,253,250.5,252,25098
43693,249.5,252,248,250,25696
43692,247,248.5,246,248,28277
43691,252.5,254,249.5,249.5,36336
43690,249,249.5,246.5,246.5,25045
43689,254.5,254.5,251,251,24732
43685,248,254,248,253.5,30140
43684,250,250.5,246.5,248,29435
43683,240,250,240,248.5,58916
43682,251,252,245.5,246.5,52835
43679,252,253.5,250.5,251.5,54165
43678,257.5,257.5,255.5,256.5,30107
43677,260,260,257,259.5,36365
43676,262.5,263,260,260,22895
43675,260,262,259.5,261,18473
43672,261,262.5,261,261,20768
43671,264,265,261.5,265,30698
43670,266.5,266.5,263,265,24511
43669,265.5,266.5,262.5,264,29273
43668,263,264,262,264,31863
43665,259.5,261,259,259,59879
43664,252,254.5,251.5,254,20908
43663,254,254,251,252,34346
43662,254,256.5,253.5,256,26141
43661,251,254.5,249.5,254.5,34264
43658,252,252,249.5,250.5,23868
43657,250,250,247.5,250,31296
43656,243,247,243,247,23812
43655,241.5,243,240.5,242,16538
43654,240,244.5,240,242.5,29190
43651,244.5,245,241.5,243,27317
43650,244.5,245,242.5,244,18691
43649,244,245,242,242.5,29549
43648,249.5,250,247.5,249,26832
43647,245.5,250,245,248.5,66370
43644,241.5,241.5,238,239,28085
43643,236,241.5,236,240.5,42007
43642,235,236.5,234,234.5,28770
43641,241,241.5,237,238.5,29735
43640,241,242,240,241,43460
43637,248,248.5,246,248.5,62136
43636,242,245.5,241,245,39717
43635,242.5,244,240.5,244,50234
43634,234,235.5,233,235.5,28798
43633,231.5,235,230.5,233,51692
43630,238.5,239.5,236,236,35403
43629,242.5,244,240,240,33731
43628,244.5,247.5,243,246,30409
43627,240,246,239,244.5,34691
43626,237.5,240,234.5,240,35521
43622,231.5,232,229.5,232,34651
43621,238,238,234,235,35901
43620,237.5,238,233,233,24443
43619,235.5,238.5,232,238,36687
43616,232,237.5,231,235.5,49163
43615,230,231.5,229,231,40375
43614,228,230.5,227,229.5,32260
43613,232,232,230.5,230.5,99322
43612,234,235,231,231,37447
43609,230,234,230,233,38226
43608,233.5,233.5,230,230,62258
43607,236.5,240.5,235.5,238,36289
43606,233.5,236,232.5,234,82872
43605,242.5,243,238,238,47097
43602,249,249,241.5,241.5,40006
43601,248.5,249.5,246,247,30331
43600,251,252,249,249,37223
43599,247.5,251,245,248.5,45620
43598,253,254,249.5,250.5,29317
43595,257,259,255,256,18868
43594,259.5,259.5,256,256.5,34166
43593,260,261.5,259.5,260,25902
43592,259.5,263,259,262.5,25686
43591,260,260,258,259,33688
43588,262,265,260.5,265,30200
43587,261.5,262.5,258.5,259,27376
43585,260,260.5,258,259,40446
43584,260,262,258.5,259.5,32651
43581,262,263,257.5,260,51743
43580,268.5,269,267,267.5,36572
43579,270,270,267.5,269,37386
43578,266.5,268,266,268,26251
43577,266.5,267.5,265,266,24967
43574,269,269.5,263.5,264.5,47698
43573,264,266,263.5,264.5,48525
43572,260,263,259.5,261.5,39037
43571,257,257,255.5,257,20231
43570,255,256,254,255.5,17257
43567,251.5,253,251,252,13888
43566,253,254,251.5,252,25146
43565,253,254.5,252,254,33174
43564,253,254,252,254,22745
43563,251,253,250.5,253,46426
43558,249,249,246.5,246.5,28581
43557,249.5,249.5,246,246,25189
43556,251,251,245,245.5,35330
43553,243,245.5,240.5,245.5,31024
43552,240.5,242.5,240,242,13998
43551,242,242.5,240.5,241.5,23622
43550,243,244,241,244,21053
43549,240.5,243.5,240.5,241.5,19273
43546,248,248.5,244.5,248.5,22996
43545,242.5,245.5,241,245.5,27514
43544,242,242,239.5,242,23055
43543,239,240.5,238,240.5,14620
43542,239.5,241,239,241,27040
43539,237,239.5,235.5,239,34542
43538,239,239,234,234.5,17281
43537,234,237,234,237,22493
43536,233,237,232.5,235.5,23839
43535,228,230.5,227.5,230.5,34282
43532,231,231.5,229,230,22535
43531,235,235,233,234,17226
43530,235,235.5,233.5,234,20811
43529,234,234.5,232.5,233,23708
43528,239.5,239.5,234.5,235.5,45164
43523,238.5,239.5,237,239,37947
43522,239,240,236.5,239.5,24586
43521,237.5,239,236,238,25227
43518,235.5,236.5,234,236.5,22032
43517,235.5,236.5,234.5,236.5,34013
43516,231.5,234.5,231,234.5,31887
43515,230,230.5,229,229,18423
43514,229,230.5,228.5,230,18163
43511,229,229,226.5,227,22369
43510,229.5,230,226,227,23647
43509,232,232,228.5,229,28634
43508,230,230,229,230,30125
43507,228,229,226.5,228,81360
43495,220.5,221.5,220,221,51889
43494,222.5,225,222,222.5,42566
43493,229.5,229.5,228,229,29134
43490,226.5,227,225,226,48039
43489,222.5,222.5,220.5,222.5,31348
43488,221.5,222,220,220.5,18671
43487,220,223,219,223,30958
43486,220,223,220,221,32515
43483,219,220,217.5,218.5,52677
43482,218,221,218,220.5,21163
43481,218.5,220,217.5,217.5,30038
43480,216.5,221,215.5,221,42990
43479,218.5,220,217,218.5,17612
43476,219,220.5,218,220.5,28658
43475,216,216.5,214.5,216,20832
43474,212,216.5,211,215.5,51255
43473,212,212.5,210,211,23794
43472,212,214,211,213,35695
43469,211.5,211.5,206.5,208,67043
43468,214,218,214,215.5,34615
43467,226.5,226.5,219,219.5,32900
